id,name,status
1,University of Tasmania (UTas),1
2,Central Queensland University (CQU),1
3,Flinders University,1
4,The University of Adelaide (Adelaide),1
5,Torrens University Australia,1
6,University of South Australia (UniSA),1
7,Australian Catholic University ,1
8,CQ University Australia,1
9,Deakin University,1
10,Federation University Australia,1
11,La Trobe University,1
12,Monash University,1
13,Bond University ,1
14,University of Southern Queensland (USQ),1
15,TAFE NSW Technical and Further Education Commission,1
16,The University of New South Wales,1
17,University of Technology Sydney,1
18,University of Wollongong (UoW),1
19,CHARLES DARWIN UNIVERSITY,1
